Course	Section	Room	Teacher	Time	Students
233	1	2	62	47	2 38 151 216 254 273 293 317 406 514 731 776 807 819 1079 1089 1105 1154 
233	2	44	243	52	715 
234	1	24	200	30	135 247 258 319 356 383 384 487 654 707 792 820 853 953 976 1021 1133 
235	1	32	207	26	317 390 412 463 498 504 513 661 815 933 1051 1125 1136 
235	2	41	109	14	
235	3	16	8	46	
236	1	9	96	53	135 193 242 314 344 374 404 429 608 764 836 845 892 1079 
236	2	2	253	29	
237	1	24	39	51	153 182 197 298 428 554 710 716 742 805 846 867 1002 1057 1132 1157 
237	2	24	53	8	
238	1	39	129	5	181 210 223 317 414 652 663 664 725 948 1007 
239	1	39	39	51	17 129 137 199 262 283 364 368 388 416 516 549 623 655 679 690 702 731 794 808 988 993 1019 1115 
240	1	5	33	16	26 114 158 327 360 628 666 696 850 982 1050 1075 
240	2	9	214	41	
240	3	24	134	19	
241	1	5	80	8	40 115 171 299 301 334 377 397 413 494 496 529 586 750 751 753 806 955 1101 
242	1	25	193	46	2 198 394 562 728 754 796 1002 1130 
242	2	25	13	15	
242	3	20	170	6	
243	1	5	92	53	183 239 349 435 481 559 629 646 653 668 698 772 794 805 887 891 906 988 1076 
243	2	9	33	16	828 
244	1	9	70	14	103 106 422 514 540 551 652 779 939 949 1002 1062 
245	1	8	79	6	238 248 398 439 560 570 685 755 788 957 1026 
245	2	41	148	9	414 
246	1	41	41	31	23 117 124 323 343 476 573 610 635 740 838 1133 1152 
246	2	44	121	27	
246	3	44	224	32	
247	1	24	121	27	3 73 100 219 226 244 285 320 345 401 407 450 493 515 599 681 719 765 
247	2	9	103	44	814 918 924 1015 1093 1134 
247	3	24	231	9	1012 
248	1	35	252	47	65 342 352 402 462 489 594 608 610 738 759 775 820 848 874 1048 1170 
248	2	34	58	12	
249	1	25	155	2	3 105 108 126 216 245 292 337 348 375 423 442 533 600 790 816 897 981 1001 
249	2	23	58	12	728 859 
249	3	27	53	8	
250	1	2	177	6	183 295 442 473 519 903 984 1100 1160 
251	1	2	68	3	207 211 255 394 430 482 509 611 643 657 698 803 820 835 853 913 991 1069 1166 1172 
252	1	2	31	58	88 206 225 240 327 445 449 452 476 494 498 529 641 662 699 711 794 808 874 883 885 943 1067 1068 
252	2	5	31	58	
252	3	44	5	14	1077 
253	1	41	219	6	165 182 212 288 309 355 393 491 517 525 561 590 686 722 734 846 968 972 993 998 1037 1118 
253	2	24	242	38	263 454 
254	1	14	219	6	28 63 98 123 134 145 188 218 251 380 564 599 633 669 695 701 795 866 904 1148 
254	2	44	35	35	582 
255	1	44	52	16	131 188 230 265 309 358 684 689 787 832 868 1029 1032 1053 1109 
255	2	36	18	18	
256	1	22	94	6	81 95 119 167 240 247 289 292 303 394 402 445 457 576 583 800 908 1008 1014 1080 
256	2	24	19	41	676 
256	3	25	129	5	
257	1	39	134	19	94 109 177 237 275 339 411 470 667 707 789 796 799 837 850 870 877 1074 1081 
257	2	39	99	32	250 
258	1	2	188	38	36 53 127 197 206 272 461 592 607 689 806 855 941 1041 1053 1104 
259	1	25	188	38	74 124 133 143 246 249 281 291 331 392 417 471 594 665 942 
259	2	30	79	6	272 304 
260	1	39	240	34	
